,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
8293,31,admin.,single,tertiary,no,-218,yes,no,unknown,2,jun,227,15,-1,0,unknown,no
30602,37,services,single,primary,no,0,no,yes,cellular,6,feb,155,6,245,5,other,no
19211,38,technician,single,tertiary,no,0,no,no,cellular,6,aug,89,2,-1,0,unknown,no
17836,60,self-employed,single,tertiary,no,179,no,yes,cellular,29,jul,79,4,-1,0,unknown,no
40541,48,services,married,secondary,no,127,no,no,cellular,8,jul,117,1,-1,0,unknown,no
8886,44,entrepreneur,married,secondary,no,-165,yes,yes,unknown,4,jun,184,2,-1,0,unknown,no
43977,35,management,married,tertiary,no,1870,yes,no,cellular,24,jun,134,1,386,1,failure,no
8900,57,blue-collar,married,primary,no,2892,yes,no,unknown,4,jun,235,5,-1,0,unknown,no
23377,45,self-employed,married,tertiary,no,424,no,no,cellular,27,aug,141,8,-1,0,unknown,no
28012,53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287,2,-1,0,unknown,no
20905,42,technician,married,tertiary,no,1493,yes,yes,cellular,13,aug,78,1,-1,0,unknown,no
32482,35,blue-collar,single,secondary,no,74,yes,no,cellular,17,apr,360,1,-1,0,unknown,no
3020,50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673,2,-1,0,unknown,no
21626,34,technician,divorced,tertiary,no,66,no,yes,cellular,19,aug,74,2,-1,0,unknown,no
13231,28,management,single,tertiary,no,882,no,yes,cellular,8,jul,107,2,-1,0,unknown,no
1528,32,unemployed,single,secondary,no,177,yes,no,unknown,8,may,21,3,-1,0,unknown,no
4782,32,admin.,single,secondary,no,2146,yes,no,unknown,21,may,422,2,-1,0,unknown,no
2850,49,unemployed,married,secondary,no,769,yes,no,unknown,14,may,257,1,-1,0,unknown,no
14610,33,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
14992,42,retired,married,primary,no,127,no,yes,cellular,17,jul,199,2,-1,0,unknown,no
7719,28,blue-collar,single,primary,no,-232,yes,no,unknown,30,may,557,2,-1,0,unknown,no
17760,30,blue-collar,married,secondary,no,7,yes,no,cellular,29,jul,197,4,-1,0,unknown,no
36299,58,management,single,tertiary,no,2,yes,no,telephone,11,may,168,3,-1,0,unknown,no
1273,41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes
12809,40,technician,married,secondary,no,351,no,yes,cellular,7,jul,139,1,-1,0,unknown,no
41376,74,retired,married,primary,no,2894,no,no,telephone,1,sep,97,5,204,2,other,no
1170,41,blue-collar,married,primary,no,191,yes,no,unknown,8,may,67,1,-1,0,unknown,no
32598,29,blue-collar,married,secondary,no,314,yes,yes,cellular,17,apr,357,1,-1,0,unknown,no
20612,32,technician,single,tertiary,no,1325,no,no,cellular,12,aug,142,2,-1,0,unknown,no
22801,41,technician,married,secondary,no,1190,no,no,cellular,25,aug,69,4,-1,0,unknown,no
11903,39,blue-collar,married,secondary,no,3832,yes,no,unknown,20,jun,14,13,-1,0,unknown,no
38797,38,technician,divorced,secondary,no,1559,yes,no,cellular,18,may,22,6,179,10,failure,no
4903,35,technician,single,tertiary,no,1362,yes,no,unknown,21,may,230,1,-1,0,unknown,no
2838,42,blue-collar,married,secondary,no,902,yes,no,unknown,14,may,71,1,-1,0,unknown,no
29539,34,technician,married,secondary,no,427,no,no,cellular,3,feb,192,1,-1,0,unknown,no
5260,34,blue-collar,married,primary,no,2490,yes,no,unknown,23,may,192,1,-1,0,unknown,no
32139,38,admin.,married,tertiary,no,293,no,no,cellular,15,apr,85,1,-1,0,unknown,no
81,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
37480,51,blue-collar,married,primary,no,1203,yes,yes,telephone,13,may,25,4,350,7,failure,no
21748,31,management,married,tertiary,no,50,no,no,cellular,19,aug,37,5,-1,0,unknown,no
17106,28,services,married,secondary,no,7,no,no,cellular,25,jul,50,3,-1,0,unknown,no
39465,26,student,single,tertiary,no,5741,no,no,cellular,25,may,327,1,-1,0,unknown,no
30106,36,admin.,married,secondary,no,313,yes,no,telephone,4,feb,403,2,-1,0,unknown,no
29194,40,services,divorced,secondary,no,687,yes,no,cellular,2,feb,531,1,208,1,success,yes
32411,42,blue-collar,married,primary,no,695,yes,no,cellular,16,apr,173,2,-1,0,unknown,no
37333,50,management,married,primary,no,117,yes,no,telephone,13,may,216,4,-1,0,unknown,no
38494,39,admin.,divorced,secondary,no,878,yes,no,cellular,15,may,611,5,-1,0,unknown,yes
10382,38,services,married,secondary,no,309,no,no,unknown,12,jun,160,2,-1,0,unknown,no
43662,80,retired,married,primary,no,594,no,no,telephone,10,may,128,2,-1,0,unknown,no
37529,42,services,divorced,secondary,no,83,no,no,cellular,13,may,300,5,358,6,failure,no
10191,36,services,married,secondary,no,24,yes,yes,unknown,11,jun,100,5,-1,0,unknown,no
21976,50,blue-collar,married,primary,no,238,no,no,cellular,20,aug,584,2,-1,0,unknown,no
22206,31,technician,married,secondary,no,28,no,no,cellular,21,aug,175,2,-1,0,unknown,no
19025,50,technician,married,secondary,no,805,no,no,cellular,5,aug,148,1,-1,0,unknown,no
16647,34,management,married,tertiary,no,0,yes,no,telephone,24,jul,60,1,-1,0,unknown,no
39762,49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,205,1,95,1,success,yes
5902,34,blue-collar,divorced,secondary,no,-566,yes,no,unknown,26,may,248,2,-1,0,unknown,no
10658,43,services,divorced,unknown,no,159,no,no,unknown,16,jun,112,4,-1,0,unknown,no
5307,34,admin.,divorced,secondary,no,2144,yes,no,unknown,23,may,157,1,-1,0,unknown,no
33189,48,blue-collar,married,primary,no,346,yes,no,cellular,20,apr,188,1,-1,0,unknown,no
36427,37,technician,single,tertiary,no,555,yes,no,cellular,11,may,180,3,-1,0,unknown,no
40637,41,management,married,tertiary,no,2487,no,no,cellular,5,aug,206,1,97,1,failure,no
1881,30,services,married,primary,no,21,yes,no,unknown,9,may,409,3,-1,0,unknown,no
13646,26,blue-collar,married,secondary,no,818,no,no,cellular,9,jul,226,2,-1,0,unknown,no
31861,32,technician,married,secondary,no,344,yes,no,cellular,9,apr,68,3,140,2,failure,no
29098,53,technician,married,secondary,no,7984,yes,no,cellular,2,feb,151,1,-1,0,unknown,no
36016,46,admin.,divorced,primary,no,1807,yes,no,cellular,11,may,62,3,339,2,failure,no
1413,30,technician,single,tertiary,no,178,yes,no,unknown,8,may,234,1,-1,0,unknown,no
24956,36,management,married,tertiary,no,1100,yes,no,cellular,18,nov,93,1,-1,0,unknown,no
16652,51,self-employed,married,secondary,no,921,no,no,cellular,24,jul,188,1,-1,0,unknown,no
186,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
30439,45,management,married,tertiary,no,2953,yes,yes,cellular,5,feb,388,1,-1,0,unknown,no
19692,32,technician,single,secondary,no,554,no,no,cellular,7,aug,520,3,-1,0,unknown,no
14900,38,entrepreneur,married,tertiary,no,4,yes,no,cellular,16,jul,158,1,-1,0,unknown,no
37939,59,blue-collar,married,primary,no,5788,no,no,cellular,14,may,56,2,350,2,failure,no
17328,28,technician,single,secondary,no,-97,no,no,cellular,28,jul,96,4,-1,0,unknown,no
32049,54,housemaid,married,unknown,no,0,no,no,cellular,14,apr,94,5,145,3,other,no
20337,32,housemaid,married,secondary,no,3832,no,no,cellular,11,aug,80,3,-1,0,unknown,no
36551,37,management,divorced,secondary,no,1655,yes,no,cellular,12,may,178,1,175,2,failure,no
10967,55,services,married,secondary,no,752,no,no,unknown,17,jun,204,2,-1,0,unknown,no
34397,28,blue-collar,married,secondary,no,61,yes,no,cellular,4,may,226,2,319,1,success,yes
14398,43,admin.,married,tertiary,no,189,yes,no,cellular,14,jul,1062,4,-1,0,unknown,yes
14183,35,technician,married,secondary,no,0,no,no,cellular,11,jul,271,2,-1,0,unknown,no
45055,42,management,married,unknown,no,1519,no,no,cellular,19,oct,230,1,92,1,success,yes
43285,36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,yes
3326,50,services,single,secondary,no,516,yes,no,unknown,15,may,187,1,-1,0,unknown,no
41355,63,retired,married,secondary,no,243,no,no,cellular,31,aug,114,1,-1,0,unknown,no
17927,47,self-employed,married,tertiary,no,192,no,no,telephone,30,jul,120,6,-1,0,unknown,no
41371,33,technician,single,secondary,no,1429,yes,no,cellular,31,aug,268,8,-1,0,unknown,yes
9551,30,student,single,unknown,no,1232,yes,no,unknown,6,jun,52,4,-1,0,unknown,no
33715,30,blue-collar,single,unknown,no,6281,no,no,cellular,21,apr,149,2,-1,0,unknown,yes
8092,37,blue-collar,married,primary,no,3574,yes,no,unknown,2,jun,152,2,-1,0,unknown,no
18252,35,management,married,tertiary,no,11,no,no,cellular,31,jul,22,19,-1,0,unknown,no
4162,57,admin.,divorced,secondary,no,4378,yes,no,unknown,19,may,78,3,-1,0,unknown,no
16504,57,retired,married,secondary,no,3382,no,yes,telephone,23,jul,165,2,-1,0,unknown,no
15843,59,housemaid,married,primary,no,352,no,no,telephone,21,jul,132,10,-1,0,unknown,no
31828,56,technician,married,tertiary,no,655,yes,yes,cellular,8,apr,326,1,-1,0,unknown,no
34277,33,blue-collar,married,secondary,no,-208,yes,yes,cellular,4,may,306,3,360,1,failure,no
9370,46,unknown,married,unknown,no,2505,no,no,unknown,6,jun,135,2,-1,0,unknown,no
26620,35,admin.,single,secondary,no,0,yes,yes,telephone,20,nov,61,3,-1,0,unknown,no
9770,39,management,married,tertiary,no,2810,no,no,unknown,9,jun,77,1,-1,0,unknown,no
30025,35,blue-collar,divorced,primary,no,21,yes,no,cellular,4,feb,166,2,-1,0,unknown,no
34792,36,admin.,married,secondary,no,788,yes,no,cellular,6,may,403,1,345,1,failure,no
40824,42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,yes
6725,26,technician,married,secondary,no,876,yes,no,unknown,28,may,713,1,-1,0,unknown,no
16388,28,services,single,secondary,no,651,no,yes,cellular,23,jul,158,2,-1,0,unknown,no
13802,42,blue-collar,divorced,secondary,no,898,yes,no,cellular,10,jul,347,1,-1,0,unknown,no
20956,54,services,married,secondary,no,869,no,no,cellular,14,aug,152,2,-1,0,unknown,no
14800,33,blue-collar,married,primary,no,208,yes,no,cellular,16,jul,284,1,-1,0,unknown,no
39303,27,technician,single,secondary,no,155,yes,no,cellular,18,may,26,4,-1,0,unknown,no
19652,46,admin.,married,secondary,no,22,yes,no,cellular,7,aug,414,4,-1,0,unknown,no
34912,46,blue-collar,married,primary,no,91,yes,no,cellular,6,may,29,1,356,2,failure,no
32271,28,admin.,married,unknown,no,-1,yes,no,cellular,16,apr,34,1,-1,0,unknown,no
19732,49,blue-collar,married,primary,no,2316,no,no,telephone,7,aug,35,4,-1,0,unknown,no
19713,54,services,married,primary,no,1059,no,no,cellular,7,aug,147,3,-1,0,unknown,no
30482,31,student,single,tertiary,no,2010,yes,no,cellular,5,feb,15,5,261,1,other,no
21191,36,technician,married,secondary,no,-393,no,no,telephone,14,aug,119,4,-1,0,unknown,no
29538,58,blue-collar,divorced,primary,no,835,no,no,telephone,3,feb,296,1,-1,0,unknown,no
33166,30,unemployed,single,secondary,no,8304,no,no,cellular,20,apr,245,1,-1,0,unknown,no
13137,39,technician,married,secondary,no,130,no,no,cellular,8,jul,202,2,-1,0,unknown,no
20991,48,management,married,tertiary,no,2498,no,no,cellular,14,aug,98,2,-1,0,unknown,no
30407,41,technician,single,secondary,no,618,no,no,cellular,5,feb,1056,1,-1,0,unknown,no
24930,35,blue-collar,married,primary,no,2732,yes,no,unknown,18,nov,254,1,-1,0,unknown,no
36136,32,blue-collar,married,primary,no,-94,yes,yes,cellular,11,may,308,1,-1,0,unknown,no
35524,44,self-employed,married,tertiary,no,11757,no,no,cellular,7,may,152,2,-1,0,unknown,no
16851,59,unknown,married,secondary,no,402,no,no,telephone,25,jul,69,5,-1,0,unknown,no
40338,39,blue-collar,divorced,tertiary,no,382,no,no,cellular,18,jun,201,3,-1,0,unknown,no
24363,47,management,married,tertiary,no,3505,no,no,cellular,17,nov,434,2,-1,0,unknown,yes
14383,30,blue-collar,single,secondary,no,0,yes,no,cellular,14,jul,768,2,-1,0,unknown,no
19435,41,technician,married,secondary,no,-832,no,no,cellular,6,aug,226,5,-1,0,unknown,no
15933,42,housemaid,married,primary,no,4279,yes,no,cellular,22,jul,98,1,-1,0,unknown,no
11281,52,technician,married,secondary,no,0,yes,no,unknown,18,jun,636,12,-1,0,unknown,no
4675,36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes
2866,41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,87,1,-1,0,unknown,no
42280,31,services,single,secondary,no,181,no,no,cellular,13,nov,239,2,93,2,success,yes
38070,37,services,married,secondary,no,20,yes,no,telephone,14,may,151,5,-1,0,unknown,no
18318,39,services,divorced,secondary,no,42,no,no,cellular,31,jul,75,2,-1,0,unknown,no
25571,32,services,married,secondary,no,1082,yes,no,cellular,19,nov,770,1,-1,0,unknown,no
4966,32,technician,married,secondary,no,901,yes,no,unknown,21,may,102,3,-1,0,unknown,no
18592,38,technician,married,secondary,no,2398,yes,yes,cellular,31,jul,18,33,-1,0,unknown,no
1614,34,blue-collar,married,primary,no,365,yes,no,unknown,9,may,85,2,-1,0,unknown,no
9376,31,technician,single,unknown,no,694,yes,no,unknown,6,jun,431,2,-1,0,unknown,no
31475,32,services,single,tertiary,no,1743,yes,no,cellular,1,apr,1156,1,261,3,other,no
18426,41,services,married,secondary,no,428,no,no,cellular,31,jul,38,2,-1,0,unknown,no
4710,32,blue-collar,married,primary,no,80,yes,no,unknown,20,may,614,2,-1,0,unknown,no
429,40,blue-collar,married,secondary,no,217,yes,no,unknown,6,may,195,1,-1,0,unknown,no
12604,31,admin.,married,secondary,no,-36,yes,yes,unknown,4,jul,64,1,-1,0,unknown,no
6797,32,management,married,tertiary,no,4307,yes,no,unknown,28,may,91,3,-1,0,unknown,no
32082,56,technician,married,secondary,no,3931,no,no,cellular,14,apr,115,1,-1,0,unknown,no
8534,47,management,divorced,tertiary,no,17964,yes,no,unknown,3,jun,165,2,-1,0,unknown,no
6370,26,blue-collar,married,secondary,no,284,yes,no,unknown,27,may,301,1,-1,0,unknown,no
5487,36,admin.,married,secondary,no,614,yes,no,unknown,23,may,13,5,-1,0,unknown,no
9634,58,retired,married,secondary,no,610,yes,no,unknown,6,jun,651,1,-1,0,unknown,no
41275,64,retired,married,tertiary,no,380,no,no,cellular,25,aug,479,1,-1,0,unknown,yes
31691,40,admin.,single,secondary,no,963,yes,no,cellular,7,apr,479,1,-1,0,unknown,no
389,58,blue-collar,divorced,unknown,no,29,yes,no,unknown,6,may,253,1,-1,0,unknown,no
44963,37,blue-collar,married,secondary,no,1403,no,no,unknown,9,oct,14,1,-1,0,unknown,no
39123,26,blue-collar,single,secondary,no,154,yes,no,cellular,18,may,1010,2,356,2,failure,no
7977,48,services,married,primary,yes,-583,yes,no,unknown,2,jun,25,7,-1,0,unknown,no
30935,54,blue-collar,married,secondary,no,2047,no,no,telephone,9,feb,150,7,194,6,failure,no
33388,33,management,married,tertiary,no,864,yes,no,cellular,20,apr,170,1,235,19,failure,no
16057,52,blue-collar,married,secondary,no,5275,no,yes,cellular,22,jul,1029,3,-1,0,unknown,no
30094,54,management,divorced,tertiary,no,427,yes,yes,cellular,4,feb,85,2,231,2,other,no
23832,51,blue-collar,married,primary,no,462,yes,no,cellular,29,aug,164,2,-1,0,unknown,no
4869,31,blue-collar,married,secondary,no,1914,yes,no,unknown,21,may,192,1,-1,0,unknown,no
8657,37,admin.,married,secondary,no,1345,yes,no,unknown,3,jun,59,2,-1,0,unknown,no
259,40,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,332,2,-1,0,unknown,no
9863,42,technician,married,secondary,no,0,no,no,unknown,9,jun,81,1,-1,0,unknown,no
13603,38,blue-collar,married,primary,no,-257,yes,yes,cellular,9,jul,458,1,-1,0,unknown,no
15116,31,technician,married,tertiary,no,2951,yes,no,cellular,17,jul,115,1,-1,0,unknown,no
31046,31,management,married,tertiary,no,2603,yes,no,cellular,11,feb,280,4,-1,0,unknown,yes
7048,51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown,yes
6062,30,blue-collar,single,secondary,no,3532,yes,no,unknown,26,may,279,5,-1,0,unknown,no
39821,34,student,single,unknown,no,1011,no,no,cellular,1,jun,253,1,-1,0,unknown,yes
37789,23,blue-collar,single,secondary,no,1105,yes,no,cellular,14,may,377,1,-1,0,unknown,no
5967,44,admin.,married,secondary,no,0,no,no,unknown,26,may,85,3,-1,0,unknown,no
21313,48,management,married,tertiary,no,288,no,no,cellular,18,aug,585,3,-1,0,unknown,no
28712,26,technician,divorced,tertiary,no,3154,yes,yes,cellular,30,jan,350,3,248,1,failure,no
10549,45,blue-collar,married,secondary,no,3037,no,no,unknown,16,jun,60,2,-1,0,unknown,no
21099,58,retired,married,primary,no,3,no,no,cellular,14,aug,158,2,-1,0,unknown,no
8861,35,blue-collar,single,secondary,no,2514,yes,no,unknown,4,jun,85,5,-1,0,unknown,no
44296,23,student,single,secondary,no,794,no,no,cellular,26,jul,607,3,171,3,other,yes
35932,31,blue-collar,divorced,secondary,no,-209,yes,no,cellular,8,may,154,3,367,2,failure,no
38222,35,self-employed,married,primary,no,712,yes,no,cellular,15,may,192,1,347,3,failure,no
2208,23,admin.,single,secondary,no,5,no,no,unknown,12,may,413,1,-1,0,unknown,no
15235,54,self-employed,married,tertiary,no,269,yes,no,cellular,17,jul,81,3,-1,0,unknown,no
31607,31,admin.,single,secondary,no,779,yes,yes,cellular,3,apr,219,2,-1,0,unknown,no
38216,27,management,single,tertiary,no,212,yes,no,cellular,15,may,373,1,-1,0,unknown,no
35985,48,blue-collar,married,primary,no,1778,yes,no,telephone,8,may,267,3,-1,0,unknown,no
27575,30,blue-collar,married,primary,no,2929,yes,no,cellular,21,nov,432,2,184,1,other,no
23967,31,management,married,tertiary,no,8312,no,no,cellular,29,aug,43,13,-1,0,unknown,no
32603,34,blue-collar,married,primary,no,329,yes,no,cellular,17,apr,952,1,343,1,failure,yes
41971,42,management,married,tertiary,no,2463,no,no,cellular,26,oct,183,2,-1,0,unknown,no
23692,34,management,single,secondary,no,1863,no,no,cellular,28,aug,143,1,-1,0,unknown,no
9733,53,unknown,married,secondary,no,16,no,no,unknown,9,jun,100,1,-1,0,unknown,no
4154,40,technician,married,tertiary,no,296,no,no,unknown,19,may,198,1,-1,0,unknown,no
28451,31,services,single,secondary,no,211,no,no,cellular,29,jan,226,2,-1,0,unknown,no
38800,32,blue-collar,married,primary,no,-283,yes,no,cellular,18,may,24,2,349,2,other,no
11191,38,blue-collar,divorced,secondary,no,889,no,yes,unknown,18,jun,362,1,-1,0,unknown,no
32025,40,self-employed,married,tertiary,no,13669,no,no,cellular,14,apr,255,7,-1,0,unknown,no
35427,44,management,married,tertiary,no,430,no,no,cellular,7,may,97,2,171,2,failure,no
40306,29,services,single,secondary,no,2800,no,no,cellular,16,jun,202,1,-1,0,unknown,no
20115,47,management,married,tertiary,no,838,no,no,cellular,11,aug,72,3,-1,0,unknown,no
9157,40,blue-collar,married,primary,no,743,no,no,unknown,5,jun,18,2,-1,0,unknown,no
1599,33,services,married,secondary,no,310,yes,no,unknown,8,may,172,4,-1,0,unknown,no
43058,58,management,married,tertiary,no,473,no,no,cellular,18,feb,1109,1,262,1,success,yes
32750,40,blue-collar,married,primary,no,572,yes,yes,cellular,17,apr,171,1,318,1,failure,no
14385,41,management,married,tertiary,no,3016,yes,no,cellular,14,jul,80,3,-1,0,unknown,no
44046,43,management,single,tertiary,no,0,no,no,cellular,30,jun,275,2,296,1,failure,yes
12229,25,services,single,secondary,no,3856,yes,no,unknown,20,jun,16,28,-1,0,unknown,no
19599,56,technician,married,secondary,no,1093,no,no,cellular,7,aug,89,4,-1,0,unknown,no
12710,52,management,married,secondary,no,3369,no,no,cellular,7,jul,196,2,-1,0,unknown,no
23791,37,management,married,tertiary,no,4293,yes,no,cellular,29,aug,150,2,-1,0,unknown,no
10783,50,retired,married,secondary,no,0,yes,yes,unknown,17,jun,328,3,-1,0,unknown,no
27448,31,admin.,single,secondary,no,144,yes,no,cellular,21,nov,51,2,140,11,failure,no
8757,27,services,married,secondary,no,-1202,yes,no,unknown,4,jun,749,2,-1,0,unknown,no
22807,34,housemaid,single,tertiary,no,43,no,no,cellular,25,aug,198,8,-1,0,unknown,no
26377,35,technician,divorced,secondary,no,127,no,no,cellular,20,nov,94,2,-1,0,unknown,no
5469,26,services,divorced,secondary,no,74,yes,no,unknown,23,may,106,6,-1,0,unknown,no
24404,56,management,married,tertiary,no,2551,yes,no,cellular,17,nov,150,2,-1,0,unknown,no
8120,60,retired,divorced,tertiary,no,-79,yes,no,unknown,2,jun,49,1,-1,0,unknown,no
36443,39,management,married,tertiary,no,763,yes,no,cellular,11,may,877,7,300,2,other,yes
16457,53,management,divorced,tertiary,no,6388,yes,no,telephone,23,jul,203,2,-1,0,unknown,no
9003,49,entrepreneur,married,tertiary,no,9824,no,no,unknown,5,jun,69,1,-1,0,unknown,no
19584,31,technician,married,secondary,no,-556,yes,no,cellular,7,aug,115,2,-1,0,unknown,no
21464,54,services,married,secondary,no,3601,no,no,telephone,18,aug,238,3,-1,0,unknown,no
6822,45,blue-collar,married,secondary,no,554,yes,no,unknown,28,may,179,2,-1,0,unknown,no
25956,52,admin.,married,primary,no,2390,no,yes,cellular,19,nov,216,2,-1,0,unknown,no
12047,53,retired,divorced,secondary,no,797,no,no,unknown,20,jun,14,6,-1,0,unknown,no
6969,36,blue-collar,single,primary,no,2176,yes,no,unknown,28,may,52,2,-1,0,unknown,no
8415,54,management,single,tertiary,no,0,yes,no,unknown,3,jun,68,1,-1,0,unknown,no
16695,49,management,married,secondary,no,27,yes,no,cellular,24,jul,63,2,-1,0,unknown,no
45161,31,management,married,tertiary,no,720,yes,no,cellular,9,nov,94,3,-1,0,unknown,no
9029,44,technician,married,secondary,no,296,yes,yes,unknown,5,jun,169,1,-1,0,unknown,no
22590,59,admin.,married,secondary,no,6264,no,no,cellular,22,aug,353,16,-1,0,unknown,no
25483,38,blue-collar,married,primary,no,10443,no,no,cellular,19,nov,370,1,-1,0,unknown,no
23390,37,management,married,tertiary,no,5065,no,no,cellular,27,aug,23,19,-1,0,unknown,no
24959,47,admin.,married,secondary,no,829,yes,yes,cellular,18,nov,48,1,188,1,failure,no
12162,35,blue-collar,married,primary,no,883,yes,yes,unknown,20,jun,18,5,-1,0,unknown,no
2318,46,admin.,married,secondary,no,250,no,no,unknown,13,may,85,2,-1,0,unknown,no
467,50,blue-collar,married,primary,no,71,yes,no,unknown,6,may,678,1,-1,0,unknown,no
12765,43,technician,married,secondary,no,-796,no,no,cellular,7,jul,190,4,-1,0,unknown,no
